,題名,著者,形式,値段
1,白銀の墟 玄の月 第一巻 十二国記 (新潮文庫),小野 不由美,文庫,737
2,白銀の墟 玄の月 第二巻 十二国記 (新潮文庫),小野 不由美,文庫,781
3,白銀の墟 玄の月 第三巻 十二国記 (新潮文庫),小野 不由美,文庫,737
4,白銀の墟 玄の月 第四巻 十二国記 (新潮文庫),小野 不由美,文庫,825
5,マンガ 自営業の老後,上田惣子,Kindle版,1099
6,双葉社ジュニア文庫 君の膵臓をたべたい,住野よる,Kindle版,594
7,昼休み、またピンクサロンに走り出していた,素童,Kindle版,990
8,池袋ウエストゲートパーク,石田 衣良,Kindle版,641
9,星守る犬,村上たかし,Kindle版,693
10,渚と澪と舵,桐島洋子,Kindle版,220
11,祝祭と予感 (幻冬舎単行本),恩田陸,Kindle版,1188
12,蜜蜂と遠雷(上) (幻冬舎文庫),恩田 陸,文庫,803
13,僕の人生には事件が起きない,岩井 勇気,単行本（ソフトカバー）,1320
14,蜜蜂と遠雷（下） (幻冬舎文庫),恩田 陸,文庫,803
15,シャーロック・ホームズの冒険 【新訳版】 シャーロック・ホームズ・シリーズ (創元推理文庫),アーサー・コナン・ドイル,Kindle版,644
16,恋のゴンドラ (実業之日本社文庫),東野 圭吾,文庫,734
17,樅の木は残った 全巻セット,山本周五郎,Kindle版,250
18,神様のアドバイス: 神様が教えてくれる人生を変えるアドバイス,稲津 秀樹,Kindle版,1350
19,ひとりで生きる 大人の流儀9,伊集院 静,単行本（ソフトカバー）,1000
20,日本沈没 決定版【文春e-Books】,小松 左京,Kindle版,815
21,サードドア: 精神的資産のふやし方,アレックス バナヤン,単行本,1980
22,82年生まれ、キム・ジヨン (単行本),チョ・ナムジュ,単行本（ソフトカバー）,1650
23,寅さんの「日本」を歩く 寅さんの聖地探訪大事典,岡村 直樹,単行本,1980
24,ファンタスティック・ビーストと魔法使いの旅 〈映画オリジナル脚本版〉 ファンタスティック・ビースト (Fantastic Beasts),J.K. Rowling,Kindle版,1057
25,双葉社ジュニア文庫 ノベライズ この世界の片隅に,こうの史代,Kindle版,554
26,交通誘導員ヨレヨレ日記――当年73歳、本日も炎天下、朝っぱらから現場に立ちます,柏耕一,単行本（ソフトカバー）,1430
27,最後は臼が笑う (Kindle Single),森 絵都,Kindle版,202
28,祝祭と予感,恩田 陸,単行本,1320
29,錨を上げよ <一> 出航篇 (幻冬舎文庫),百田 尚樹,文庫,759
30,女王と海賊の披露宴-海賊と女王の航宙記 (C★NOVELS (か1-75)),茅田 砂胡,新書,1100
31,ナポレオン １ 台頭篇 (集英社文芸単行本),佐藤賢一,Kindle版,2420
32,マクベス (光文社古典新訳文庫),シェイクスピア,Kindle版,528
33,禁裏付雅帳九 続揺 (徳間文庫),上田秀人,文庫,726
34,ハリー・ポッターと賢者の石 - Harry Potter and the Philosopher's Stone ハリー・ポッターシリーズ,J.K. Rowling,Kindle版,585
35,あなたが危ない! --不幸から逃げろ!,江原 啓之,新書,1320
36,三体,劉 慈欣,Kindle版,1881
37,錨を上げよ <二> 座礁篇 (幻冬舎文庫),百田 尚樹,文庫,759
38,錨を上げよ <三> 漂流篇 (幻冬舎文庫),百田 尚樹,文庫,759
39,はぴはぴ くるねこ 5,くるねこ 大和,単行本,1100
40,緋色の研究 【新訳版】 シャーロック・ホームズ・シリーズ (創元推理文庫),アーサー・コナン・ドイル,Kindle版,394
41,レイライン: 千三百年間の謎 失われた秘剣,榊正志,Kindle版,250
42,サバイバル・ウェディング,大橋弘祐,Kindle版,673
43,錨を上げよ <四> 抜錨篇 (幻冬舎文庫),百田 尚樹,文庫,759
44,アイネクライネナハトムジーク (幻冬舎文庫),伊坂幸太郎,Kindle版,616
45,塀の中の懲りない面々 (文春文庫),安部 譲二,Kindle版,440
46,雲雀とイリス (ハヤカワ文庫JA),天狼プロダクション,文庫,748
47,生きるって、なに?,たかのてるこ,単行本（ソフトカバー）,550
48,大家さんと僕 これから,矢部 太郎,単行本（ソフトカバー）,1210
49,仕事休んでうつ地獄に行ってきた,丸岡いずみ,Kindle版,792
50,漱石 ホラー傑作選 (PHP文庫),夏目 漱石,Kindle版,459
